Week,function_name,X,y
Wk3,function_1,"[0.793055, 0.833272]",-7.35E-49
Wk3,function_2,"[0.723940, 0.607823]",0.610471159
Wk3,function_3,"[0.508290, 0.592716, 0.508960]",-0.030532859
Wk3,function_4,"[0.653198, 0.599338, 0.563050, 0.583810]",-10.98189516
Wk3,function_5,"[0.504788, 0.727280, 0.677143, 0.813234]",204.0875757
Wk3,function_6,"[0.710510, 0.715909, 0.637414, 0.723916, 0.480030]",-1.121897902
Wk3,function_7,"[0.553522, 0.446598, 0.592944, 0.647993, 0.479229, 0.688363]",0.299049107
Wk3,function_8,"[0.580744, 0.591496, 0.567105, 0.524863, 0.621039, 0.641792, 0.696989, 0.690997]",8.098204414
